ID	ND	FL
Ruminococcus_B	0.003148282	0.003598168
CAVDHB01	0.004044732	0.00266135
Longibaculum	0.002354256	0.004335409
UBA2730	0.002191972	0.004324227
Saccharofermentans	0.002320755	0.004149415
Chakrabartyella	0.002492776	0.003958289
Fournierella	0.002831525	0.003591809
Faecalicatena_A	0.002406726	0.00401428
Proteiniphilum	0.003895818	0.002519722
Scybalousia	0.003366954	0.003039078
UBA3305	0.002729233	0.003666763
NK4A144	0.002693927	0.003680066
Listeria	0.0007679202	0.005559809
UBA4363	0.003770943	0.002553273
MGBC111451	0.002775586	0.003538839
HGM13006	0.003653262	0.002620124
SFEL01	0.003717401	0.002543181
Colimorpha	0.00376815	0.002455814
Riemerella	0.003170421	0.00302613
Merdimonas	0.002818166	0.003353051
CAG-238	0.002640305	0.003509156
CHH4-2	0.002479822	0.00360525
SIG607	0.002767541	0.003298421
Clostridium_AR	0.003298814	0.002743773
Roseburia_D	0.002753941	0.003252226
JAAWBF01	0.003319769	0.002614578
UBA5385	0.002794955	0.003132222
CALXEM01	0.003533117	0.00238588
Nanoperiomorbus	0.002369699	0.00353822
CAG-465	0.001463135	0.004412366
Monoglobus	0.002484525	0.00337372
Aridibacter	0.004008699	0.001819023
FB2012	0.002520014	0.003301422
Hespellia	0.002758232	0.003026071
CAG-582	0.001714365	0.004067836
Porphyromonas_A	0.003148345	0.002624584
Xiamenia	0.003128044	0.002636399
UMGS1766	0.003036501	0.002677621
Coprenecus	0.002723594	0.002981138
RACS-047	0.0014111	0.004279384
UBA940	0.002321614	0.003353758
Maccoya	0.002458088	0.003215271
Liquorilactobacillus	0.002843606	0.002795387
Spyradocola	0.003322725	0.002307147
RUG14109	0.002990721	0.002637698
JAAWTG01	0.002881238	0.002737968
UMGS75	0.001991651	0.00360723
SFDP01	0.002725603	0.002818895
Cellulosilyticum	0.001855887	0.003635426
Fibrobacter	0.002509454	0.002945414
CAG-882	0.001908987	0.003497133
Sedimentibacter	0.002013174	0.003392626
Luxibacter	0.002468881	0.002885077
Lawsonibacter_A	0.002282979	0.003042828
Lentibacillus	0.003418422	0.001904732
Scatomorpha	0.002798376	0.002522546
RUG11977	0.002481231	0.002759131
CATOPA01	0.000279235	0.004953446
Cuneatibacter	0.001515266	0.003704943
CASPLG01	0.00257066	0.002643518
Aminipila	0.00227639	0.002937658
Paraimprobicoccus	0.00201363	0.003199956
Catenibacterium	0.002854454	0.002276701
CAG-196	0.001551267	0.003558205
RGIG2000	0.0009596552	0.004133344
Spirochaeta_B	0.003642788	0.001432011
MGBC107952	0.001143078	0.003925646
UBA2883	0.001026587	0.004029712
UMGS1264	0.002448427	0.002562438
Faecalitalea	0.001971393	0.003026935
Brotonthovivens	0.002261795	0.002675164
RGIG8745	0.002907808	0.002020839
UBA2943	0.002429086	0.002470034
CARZYU01	0.002313831	0.002552163
Altimarinus	0.003988377	0.0008563819
Brocadia	0.001995609	0.00279132
JAISGK01	9.906887e-05	0.004677786
Lutispora	0.0006714253	0.004103919
UBA1431	0.003293833	0.001479657
UMGS775	0.002571843	0.002187001
Gallispira	0.001617195	0.003140104
UBA3766	0.001923158	0.002825903
UBA1740	0.001724031	0.003002658
Pelotomaculum_B	0.003176847	0.001537295
RGIG9060	0.002226708	0.002481286
CAG-194	0.001546809	0.003150669
Alicyclobacillus	0.002413893	0.002253413
Avimonas	0.002338598	0.002328692
Hominenteromicrobium	0.002139672	0.002524336
Paludibacter	0.002726599	0.001937263
UBA2862	0.001097714	0.003559369
Colivivens	0.002513562	0.002127539
Quinella	0.001472486	0.003167153
CADEDV01	0.001564463	0.003074636
CANQUC01	0.002351542	0.002272096
AC2028	0.001723668	0.002899918
HUN007	0.002371788	0.002235423
Holdemania	0.001459298	0.003120548
RGIG3102	0.001935547	0.0026328
Ructibacterium	0.002019512	0.002515535
RUG472	0.002580026	0.00194769
SZUA-584	0.00210369	0.00239314
CANRHG01	0.002028798	0.002414999
Coprobacter	0.002809121	0.001543861
MGBC139354	0.001202663	0.003131482
Guopingia	0.001752939	0.002577965
Phascolarctobacterium_A	0.001684511	0.002617802
RGIG6919	0.002721958	0.001571468
SIG300	0.001678443	0.002612225
Fumia	0.002020764	0.002256956
Gabonibacter	0.002690302	0.00156777
Massilistercora	0.002545979	0.001709357
JAKSRN01	0.002269572	0.00198552
Coprovivens	0.00170402	0.002541133
QANA01	0.001221967	0.002991013
Clostridium_N	0.002012433	0.0021365
Labilithrix	0.001773268	0.002372831
Sphingomonas	0.001248788	0.002864364
Faecalicoccus	0.001716701	0.002364499
UBA6398	0.001949701	0.002116042
CAKRJP01	0.001212652	0.002846053
Jeotgalibaca	0.0001130724	0.003940853
Microbacter	0.002145372	0.001889638
KM106-2	0.0008960479	0.003112444
Merdibacter	0.00212608	0.001880195
CAG-274	0.002078639	0.001914436
CAG-272	0.001611043	0.002371975
Colivicinus	0.002254942	0.001721372
Clostridium_A	0.002190671	0.001741347
Merdivicinus	0.00219888	0.001700621
Puniceibacterium	0.002768926	0.001110482
Sinanaerobacter	0.001741163	0.002119922
Avilachnospira	0.00186316	0.00198145
RUG592	0.001026575	0.002816988
Clostridium_J	0.00214045	0.00167917
Stoquefichus	0.001428744	0.002386907
UBA6987	0.002045541	0.001768724
CAKTEE01	0.00170378	0.00209702
Pseudolachnospira	0.001369985	0.002424437
Parvibacter	0.001080463	0.002711903
DASVHX01	0.00160823	0.002171626
CALXVA01	0.002121252	0.001640581
CAG-488	0.001761657	0.001975445
Borkfalkia	0.00132459	0.002390669
DAOSWM01	0.0001957503	0.003509685
UBA7862	0.000233811	0.003431042
JAFUXM01	0.001425777	0.002224095
UMGS1889	0.001434363	0.002173504
Pristimantibacillus	0.001915421	0.001683843
UMGS995	0.0007521001	0.002846725
JAJTFW01	0.001672689	0.001915789
RGIG10190	0.002121135	0.0014604
Oceanivirga	0.002464146	0.001115218
Anaerovibrio	0.0007727494	0.002806168
Eubacterium_T	0.002261713	0.001317182
UBA7703	0.001311589	0.002261043
Caproiciproducens	0.001631176	0.001922945
WRGA01	0.001006307	0.002531776
MGBC113645	0.001519828	0.002006545
CABSIM01	0.001780368	0.001743348
Ruminococcus_G	0.001280968	0.00222189
Selenomonas_A	0.002469863	0.001031354
SZUA-378	0.001466851	0.002024618
JAJQCI01	0.001462582	0.002027897
NHYM01	0.001797198	0.001637066
UBA10428	0.002313607	0.001118977
Frigididesulfovibrio	0.001092861	0.002303222
Hungatella_A	0.001383284	0.001996581
UMGS1590	0.001249849	0.002123004
Pseudoruminococcus	0.002205184	0.00115817
Fibrella	0.002342317	0.0009954256
UBA629	0.001078529	0.002247474
UMGS692	0.001573319	0.001752168
Mesorhizobium	0.001262751	0.002062197
JAGZHZ01	0.001266055	0.002058371
Anaerofilum	0.001587374	0.001734622
CAKSIW01	0.0005390779	0.002766254
Natronoflexus	0.002157522	0.001146707
Megasphaera	0.0008873038	0.002385582
Tullyiplasma	0.002337297	0.0009260052
Onthomorpha	0.001130558	0.002130246
Hathewaya	0.002654096	0.0005877255
ISDg	0.0008543834	0.002385264
JADKBO01	0.002249577	0.0009824887
Desulfosporosinus	0.001214529	0.002008997
Alitiscatomonas	0.001379614	0.001841531
Coprosoma	0.0008171349	0.002377131
DTU052	0.0004941052	0.00269439
RUG563	0.00158981	0.001586581
Herbivorax	0.0005510281	0.002607981
Mogibacterium_A	0.0009244526	0.002233876
RUG12871	2.182192e-05	0.003127334
UMGS902	0.001261217	0.00188336
Firm-04	0.0009785076	0.002162953
Pullilachnospira	0.00166237	0.001474045
Bacteroides_F	0.001489081	0.001647081
W11650	0.001322969	0.001810043
Scatonaster	0.001652249	0.00147953
Flavobacterium	0.001524028	0.001590823
Empedobacter	0.001844647	0.001257049
CAG-605	0.0004049961	0.002683502
DASXVE01	0.002002322	0.001071644
AF33-28	0.001341296	0.001732314
UBA1685	0.001143087	0.001922448
Khoudiadiopia	0.0005076417	0.002531364
Labrys	0.0006774734	0.002360918
JAUUSJ01	0.001267496	0.001770755
Pygmaiobacter	0.001960179	0.001077334
Aurantiacibacter	0.002095216	0.0009303084
Bact-19	0.001520399	0.001504595
Weimeria	0.001516883	0.001494929
Alectryocaccobium	0.001483991	0.001526207
Alterileibacterium	0.00148536	0.001519613
Scybalomonas	0.0008887136	0.002110098
JAIRRL01	0.001316285	0.001682205
