ID	LPD	FN
FMMP01	7.084808e-05	0.0001078981
UBA1224	8.046445e-05	9.820766e-05
UMGS1908	0.0001591323	1.945209e-05
UBA6129	0.0001320853	4.62953e-05
SIG450	9.996704e-05	7.796178e-05
JAHJRI01	0	0.0001774664
Firm-13	0.0001167884	6.02705e-05
JAAYMJ01	0.0001274207	4.954083e-05
UBA11452	7.195132e-05	0.0001048887
CALVGN01	0.0001105541	6.619438e-05
Murdochiella	0.0001370431	3.940874e-05
JAAFHB01	0.00010692	6.95287e-05
DTU018	0.0001454697	3.081755e-05
RUG11420	2.204942e-05	0.0001541237
Copranaerobaculum	6.538016e-05	0.0001107176
Desnuesiella	0.0001233237	5.256807e-05
UBA6957	0.0001191169	5.648957e-05
